입찰공고명,공고기관명,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체주소
미래 한국군 통합사이버전 수행방안 연구,공군군수사령부,65948647.0,,2023-06-12,,,김지훈,
미래 해양강군 해군비전 2045개정 방향 연구,국군재정관리단,113952065.0,84.75,,사단법인 안보경영연구원,전건욱,,"서울특별시 강남구 언주로527, 10층 (역삼동)"
차륜형장갑차 성능개량 사업 비용분석,방위사업청(운영지원과),77660147.0,,,한국환경설계(주),김두식,우지민,"경기도 군포시 번영로514, 601호(금정동)"
특수 과학화 전술훈련장 선행연구 용역,제2879부대,,92.12,2019-05-13,사단법인 안보경영연구원,전건욱,,"서울특별시 강남구 언주로527, 10층 (역삼동)"
00부대 스마트 자동화 저장창고 신축 비용분석 연구,국방부(운영지원과),,,2023-08-03,,,,
빅데이터 기반 공중전투 기동 분석기술 연구용역,제7군단,274692024.0,74.38,,,정의붕,박계향,"서울특별시 영등포구 63로40, 202호(여의도동)"
잠수함 근무환경의 분석 및 건강모델개발 용역,방위사업청(운영지원과),,93.908,2020-11-08,주식회사 반석건설엔지니어링,조종열,유완종,"서울특별시 영등포구 63로 32, 라이프콤비빌딩702호(여의도동)"
인공지능 전차 비사격 훈련시스템 개발 연구용역,방위사업청(운영지원과),48622139.0,,2017-07-24,,정의승,박유정,서울특별시 노원구 화랑로574-0 (공릉동)
동서지형의 차이를 고려한 부대 및 전력구조 연구용역,국방부(운영지원과),,83.732,2018-07-07,주식회사 바로텍시너지,한영수,,
해군수병 역량강화 프로그램 추진 연구용역,국방부(운영지원과),208378241.0,,2019-02-23,,,경상현,
내부피폭선량분석셋(삼중수소 전처리장비셋) 구매,방위사업청(운영지원과),114647984.0,85.062,2020-01-09,,,김현숙,
분석기(비행조종계통 점검용)외1종 구매(16-38),국방부조사본부,36332756.0,,,,,,
정밀측정장비(제원분석기) 구매,육군본부,,,,,,차윤아,
2024년 임상의학연구센터 통계프로그램 구매,공군사관학교,29952064.0,93.403,,서준코퍼레이션,김운용,이철호,경기도 오산시 삼미로47번길81-12 (내삼미동)
군 성폭력 사건 분석 연구,육군본부,,86.539,2023-01-31,,,,
20-해군 무장체계의 효율적인 창정비 방안 연구,국방부(운영지원과),56568533.0,83.62,2022-04-18,(주)아이디어정보기술,강윤진,김소미,"대전광역시 유성구 대학로 27, 현대리조텔 2층(봉명동)"
수중자율기뢰 탐색체(AUV) 사업분석,방위사업청,,92.366,,한성대학교 산학협력단,이정환,김정일,서울특별시 서대문구 충정로53-0 (충정로2가) 골든타워빌딩 1701호
국방전직교육사업 스마트플랫폼 구축방안 연구,공군사관학교,12298723.0,81.818,2020-02-14,,,,
스펙트럼용 분석기 구매,육군본부,144137155.0,,,MRO Tech(엠알오텍),한만웅,안병선,"서울특별시 금천구 가산디지털1로5, 대륭테크노타운 20차 1934호"
18-오일 오염도 분석기 구매,국군수도병원,,,2022-03-13,(주)이에이치,정진욱,최은수,"인천광역시 남동구 서창남순환로190-15 (서창동, 서창퍼스트뷰아파트) 718동 301호"
공개SW 군 확산을 위한 정책수립 연구,국군재정관리단,95655910.0,87.333,2019-11-02,재단법인 한국군사문제연구원,김형철,,"경기도 성남시 수정구 위례대로83(창곡동, 국방문화센터)"
한국형 공지기동부대 작전수행개념 연구용역,육군교육사령부,,71.12,2019-03-13,(사)21세기군사연구소,이용훈,이기찬,"서울특별시 금천구 가산디지털2로184, 10층 1017호(가산동, 벽산디지털밸리2차)"
[24-육-6] M&S 체계구축  활용방안 연구,합동참모본부,19227228.0,105.088,2022-11-26,국방대학교산학협력단,권시형,권시형,"서울특별시 송파구 법원로11길25-0, A동 1310호(문정동, 에이치비즈니스파크)"
영평사격장 주변지역 주민이주 방안 연구,국군재정관리단,,,,사단법인 안보경영연구원,전건욱,,"서울특별시 강남구 언주로527, 10층 (역삼동)"
21-공-회로분석기 구매,국군의무사령부,,80.159,2018-10-08,(주)한진이엔아이,김성찬,정경아,대전광역시 대덕구 오정로78번길114 2층 (오정동)
24년 의무장비(요분석기) 구매,공군항공안전단,,,,(주)두두아이티,,,세종특별자치시  시청대로370-0
용산헬기장 소음영향평가 연구용역,제9691부대,,80.371,,한국과학기술원,김근우,황병수,경상남도 진주시 동진로420 (충무공동)
미래 육군 전술감시체계 운영개념 정립 기술연구 용역,국방대학교,58347685.0,,2017-12-08,,,김한욱,
전군 연례 리더십 수준 진단 연구용역,국군제1068부대,17923077.0,80.213,,,,경상현,"전라북도 군산시 임피면 호원대3길 64,"
수중전술기기통제사 자격 신설 연구,국방대학교,5708936.0,,2020-07-19,이성 주식회사,박종재,이성로,서울특별시 성북구 삼선교로16길116-0 (삼선동2가)
22년 기술연구용역 계약(3),국방부(운영지원과),,88.554,,에스엔케이와이즈주식회사,박장권,박정수,서울특별시 강서구 마곡중앙5로1길20 (마곡동) 520호
전투발전세미나 수행 연구용역,국군재정관리단,,,,한국직업능력연구원,,박문희,"인천광역시 중구 인중로 178, 제이엘타워 1001호(사동)"
[연구소] 유전자 자동염기서열 정비 및 검교정,제2879부대,,107.922,2017-12-25,(사)21세기군사연구소,,이상규,"서울특별시 강남구 테헤란로64길13, 504호 (대치동, 선릉역 풍림아이원레몬)"
작전환경고려 전투실험 방법 및 평가 분석방법 연구,국군재정관리단,102399713.0,,2019-10-21,한빛디엔에스(주),경상현,,"부산광역시 연제구 중앙대로1054번길6, 5층 (연산동)"
공군 예비군훈련장 권역화 · 과학화 구축방안 연구,공군군수사령부,185582749.0,85.456,2017-05-25,,박정기,,
21-해양 기반 우주작전 개념 및 전력발전 방안 연구,육군본부,159006230.0,,2020-11-14,주식회사 발렌베리,권민정,이연정,"서울특별시 구로구 디지털로31길41-0, 603호, 604호, 605호(구로동, 이앤씨벤처드림타워6차)"
18년 분석용모델 유지보수 용역,해군본부,80384694.0,84.095,2022-08-22,사단법인한국국가기록연구원,전춘석,경상현,서울특별시 서초구 서초동1432-13 202
K1A1전차 성능개량 사업분석,해군본부,46615672.0,,2021-11-29,주식회사  인섹시큐리티,유완종,김경호,경기도 성남시 분당구 판교역로 220(삼평동 673)
군사시설 유형별 시설기준 제 개정 연구,공군제18전투비행단,56820523.0,93.666,2017-11-28,,,,
신기술 연구개발 기반체계 구축 및 백업체계 교체,국군재정관리단,,,,,정의승,김승범,
중형기동헬기(UH/HH-60) 성능개량사업 비용분석,국방대학교,38000270.0,86.85,,사단법인 안보경영연구원,박정기,,"서울특별시 강남구 언주로527, 10층 (역삼동)"
군무원 적정 충원 비율에 관한 연구 용역,해군본부,132183773.0,,2019-03-27,,,,
미래 작전지속지원 수행개념 및 핵심요구능력 연구,국방부(운영지원과),180559529.0,76.077,2018-07-13,,,이동희,
계기착륙장치(ILS)사업 선행연구,방위사업청(운영지원과),28739537.0,,2017-10-05,주식회사 베테랑콤,,,"서울특별시 금천구 가산디지털2로184, 10층 1017호(가산동, 벽산디지털밸리2차)"
해안 경계력 보강 사업 선행 연구,국군재정관리단,55125891.0,75.63,,,,윤진영,
KF-16 AIFF 점검 및 교환 기술 개발 연구 용역,국군재정관리단,,78.498,2017-06-14,,,,
기술교범 국제규격 S1000D 적용 방안 연구,제9691부대,,101.884,,주식회사 누리아이코리아,김한희,김영애,"경기도 고양시 덕양구 삼원로73, 721호(원흥동, 원흥한일윈스타)"
23년 전투실험발전 연구용역(2),국군재정관리단,69234837.0,,2020-05-24,한국생산성본부,안완기,김재욱,서울특별시 강남구 논현로189길6 (압구정동)
미래 육군 상비병력 절감방안 연구,공군교육사령부,,90.773,2021-06-14,(사)21세기군사연구소,,이동근,서울특별시 관악구 관악로1 (신림동)
DNA정량분석기 등 7항목 구매(의무),공군군수사령부,127680082.0,,2021-12-27,주식회사 베테랑콤,이문걸,박은하,서울특별시 용산구 한강대로46길25-0 (한강로2가) 401호
22-군 비행장 조명시설 표준화 연구용역,국방부(운영지원과),,,,,유훈,권시형,"서울특별시 송파구 법원로11길25-0, A동 1310호(문정동, 에이치비즈니스파크)"
24년 국방연구개발사업의 성과조사 · 분석 연구 ,공군본부,22192372.0,64.129,2023-02-17,기관상사,이상희,박정자,인천광역시 미추홀구 인하로100-0 (용현동) 인하대학교
공군 방공포부대 이전 요구 연구용역,공군본부,9748439.0,80.175,2017-11-20,KEYSTONE CG(키스톤씨지),김양훈,이희국,"서울특별시 송파구 송파대로167 , 비동 1303호 (문정동, 문정역테라타워)"
사이버위협 분석체계 개선사업,육군본부,233898169.0,88.801,2020-09-09,국민대학교산학협력단,김민철,성진숙,"대전광역시 유성구 대학로 99(궁동, 충남대학교)"
(227135-E)디지털포렌식 조사분석도구 구매,국군재정관리단,4724339.0,105.116,2021-11-14,유한회사 행정과 소통연구소,김태호,박용준,충청남도 아산시 신창면 순천향로22 앙뜨레프레너관 E404호
상층대기분석장비 유지보수,공군본부,153276004.0,,2021-05-20,주식회사 진성하이텍,김성도,이수현,부산광역시 사상구 학장로135번길62 (학장동)
보령 공군사격장 민관군 상생협력방안 연구용역,방위사업청(운영지원과),83584787.0,85.071,,세종대학교산학협력단,한민구,,"서울특별시 금천구 가산디지털2로184, 10층 1017호(가산동, 벽산디지털밸리2차)"
(236306-F)지형분석장비 교체사업(리스물건),방위사업청(운영지원과),,87.805,2023-06-19,엠제이코리아,홍광표,홍세준,"경기도 광명시 사성로103번길14 (철산동, 광복현대아파트)106-508"
00 군공항 설계기본요구조건 작성 연구용역,제20전투비행단,22540554.0,93.037,,,,,
00부대 지형분석장비(워크스테이션) 구매(20197163-B),육군본부,240765120.0,81.025,,(사)한국위기관리연구소,김종수,김태영,"서울특별시 은평구 진흥로 225,(불광동)"
디지털증거분석 수사체계 구축(208050-A),합동참모본부,105486475.0,,,,,최승룡,
실전적 모의지원 연구,국방부(운영지원과),46502964.0,,,,,,
의무시설 시설공사비 적정 편성 기준 연구,국군재정관리단,33053086.0,,,,이문걸,경상현,
알코올 대사체 분석방법 연구,국군수송사령부,247934144.0,75.12,,육군사관학교 산학협력단,,이재평,
음원수집장비 및 음원분석 워크스테이션 구매설치,국군재정관리단,,98.303,2021-04-16,국립금오공과대학교산학협력단,임근우,황인선,"제주특별자치도 제주시 연북로21-0, 에코에비뉴 1609호"
고출력레이저 위성추적체계 구축방안 연구,국군재정관리단,66953942.0,,2021-08-12,연세대학교 산학협력단,김진욱,장재필,서울특별시 관악구 관악로1 (신림동)
국방군사시설 건축바닥면적 기준 개정 연구용역,국군재정관리단,866580.0,90.712,2019-04-16,,,,
단안형 야간투시경 조리개 개발 연구용역,국방부조사본부,,,2019-01-31,주식회사 쏠바이오텍,최현선,권호영,대구광역시 달서구 와룡로45길10-14 (죽전동)
(207180-H)스펙트럼측정/분석장비 노후교체,육군본부,663129.0,75.795,,(주)싸이버텍,김진욱,김은영,서울특별시 용산구 이태원로29-0 (용산동1가) 전쟁기념관 435호
18-공군 비행교수법 교육 프로그램 개선 및 개발 연구,국방부(운영지원과),,89.269,,사단법인 안보경영연구원,전건욱,,"서울특별시 강남구 언주로527, 10층 (역삼동)"
23-1차 개념설계 기술지원 연구용역,합동참모본부,45603843.0,79.538,2022-02-22,,,조현정,
19-한국 해양안보에 미치는 갈등요인과 대응방안 연구,방위사업청(운영지원과),50429447.0,88.175,2017-06-18,씨지에스아이티(주),이희석,유선미,인천광역시 미추홀구 인하로100-0 (용현동) 인하대학교
18-미래 해상 무인/자율무기체계 개발방향 연구,국군재정관리단,15534998.0,,,,,,서울특별시 노원구 화랑로574-0 (공릉동)
4차 산업혁명 기술 함정적용 방안 연구용역,제6619부대,163654376.0,88.469,,(주)심네트,홍양희,,울산광역시 동구 방어진순환도로1000-0(전하동)
감염 및 외상분야 군의료 특성화 연구(2차),육군본부,12211426.0,75.657,2019-10-06,(주)동양기술,권오경,최재현,"서울특별시 구로구 디지털로242, 1605호(구로동, 한화비즈메트로1차)"
5인치 함포용 사거리연장탄 사업분석,국방부군사편찬연구소,287746962.0,91.418,2023-03-28,주식회사 한국엔브이,홍지유,심지민,"서울특별시 금천구 서부샛길606, A동 2410호 (가산동,대성디폴리스지식산업센터)"
군사시설 타운화 개념의 부대 재배치 방안 연구,육군 제3808부대,85805919.0,60.74,,주식회사 씨이지앤드플러스,,이희석,"경기도 안양시 동안구 학의로282, 501호,502호,503호 (관양동, 금강펜테리움아이티타워)"
국내 대형민간항공기 활용 공중발사 가능성 분석 연구,육군 제3808부대,34391042.0,85.499,2020-01-27,디와이아이앤씨주식회사,정형수,정태량,대전광역시 서구 도산로403번길21 전자타운419호
방위사업의 산업파급효과 계수 도출을 위한 연구,방위사업청(운영지원과),,94.745,2018-07-10,국방기술품질원,김재영,이윤아,"경기도 성남시 수정구 복정로84번길 22-15,(B-001호) (복정동)"
안보학술진흥연구용역(1.국가안보문제에관한이론),육군교육사령부,56840228.0,93.438,2017-12-29,사단법인 국방지능정보기술융합협회,이영환,류제성,"충청남도 논산시 대학로 121, 건양대학교 산학협력단(내동)"
20-지형분석체계 교체(리스물건)(208080-A),육군교육사령부,44886720.0,,2018-01-22,젠트리거,이귀숙,김태영,충청북도 청주시 청원구 오창읍 농소길33-56
사회공학기법과 사이버 작전과의 연계성 연구,육군본부,12484388.0,78.622,2021-08-11,국방대학교산학협력단,김진욱,최동숙,"서울특별시 강남구 언주로319, 5층,6층(역삼동,조우회관)"
한국형 레이저 무기 조기도입 개발전략 연구,합동참모본부,117274067.0,81.857,,(주)심네트,김재영,이수행,대전광역시 유성구 테크노3로65-0 (관평동) 한산에스메카 333호
융합형 신개념기술시범(ACTD) 제도 정립방안 연구,국군재정관리단,208376711.0,99.389,2017-11-28,엘아이지넥스원주식회사,이윤문,조혜진,충청북도 청주시 상당구 남일면 단재로635(공군사관학교)
화학작용제 자동분석기 MM-1 외주정비,국군수도병원,,107.67,,주식회사 우성텔레콤,김영우,이의재,경기도 안양시 동안구 관양로269-5 (관양동) 3층
00기지 항공유 저장탱크 신·증축 선행연구,4284부대,14659169.0,,,이상시스템,김태호,이정헌,"인천광역시 서구 보듬로158, 공존11층 1131호(오류동, 블루텍)"
위성전군방공경보체계 경미한 성능개량 사업분석,국군재정관리단,127971566.0,,,한국과학기술원,정의붕,조희정,서울특별시 성북구 삼선교로16길116-0 (삼선동2가)
급식유통센터 성과분석 및 (경남권)필요성 연구,국방부(운영지원과),142396.0,87.658,2020-04-30,사단법인 안보경영연구원,전건욱,,"서울특별시 강남구 언주로527, 10층 (역삼동)"
전술이동통신체계 구축방안 연구용역,국방부(운영지원과),,,,,전건욱,,
19-군 자체 안전보건경영시스템 인증제도 구축 연구,국방부(운영지원과),,71.456,2023-02-14,한양대학교 산학협력단,김주희,이광민,
전투준비태세 평가체계 발전방향 연구,공군본부,,88.345,,(주)에프오알엠도시건축공간연구소,김재영,,"부산광역시 해운대구 센텀동로 35, 센텀SH밸리 404호(우동)"
17-방공관제사-94 보급수송과 스펙트럼 분석기/3품목,국방대학교,,,,국민대학교산학협력단,최양열,장미선,경기도 수원시 장안구 하률로12번길80-0 (천천동)
유도탄검사장비(00체계 가스승압기  가스분석기) 정비,국군수도병원,110760754.0,86.99,2023-06-08,,,이상규,
효율적 획득업무 수행을 위한 WBS 표준화 연구,국군의무사령부,34262314.0,76.123,2021-12-13,,,박정자,
월간지(안보현안분석  린사포럼) 인쇄 용역,국군재정관리단,109196699.0,69.913,,중앙대학교 산학협력단,,박계향,"서울특별시 금천구 가마산로96-0, 213호(가산동, 대륭테크노타운8차)"
효율적인 유지보수 사업관리 방안 연구,해군본부,,97.291,2016-11-07,한국생산성본부,최영복,이지유,"경기도 군포시 고산로148번길17-0, B동 1303호, 1304호, 1305호(당정동, 군포IT밸리)"
24년 전투실험발전 연구 용역(2),공군사관학교,,87.006,2021-04-10,(사)국방시설연구협회,신희준,,서울특별시 강남구 남부순환로 2806()
24년 국방민원서비스 만족도 조사 연구,해군본부,,,2020-08-11,대광산업,홍순모,오흔정,"대전광역시 유성구 한밭대로138 (노은동, 노은노블레스) 201호"
디지털 증거분석체계 라이센스 확보,국군화생방방호사령부,,,2021-01-17,티쓰리큐 주식회사,임정숙,최규식,"경기도 군포시 고산로148번길17-0, B동 1303호, 1304호, 1305호(당정동, 군포IT밸리)"
24-미래 공군병력 부족 대비 인력공급 확대방안 연구,국군의무사령부,374665081.0,87.354,,,,,
성희롱 등 사건분석을 통한 조직문화 개선방안 연구,해군본부,,,2020-12-13,(사)21세기군사연구소,,박계향,
국방·군사시설기준 부분개정 연구용역,해군군수사령부,57781266.0,,2017-01-10,,,,"서울특별시 용산구 한강대로62길41, 3층 (한강로1가)"
전시 공군탄약소요산정 모델 개선ㆍ보완 연구,제9691부대,121674196.0,,2017-04-25,군정비지원센터,유재웅,김우중,"경기도 성남시 중원구 사기막골로159-0 (상대원동, 금강하이테크2 아파트형공장) 711호"
복합형 회전익기 통합 설계/해석 M&S 연구용역,방위사업청(운영지원과),,93.895,2019-08-10,,,이민행,
복합무기체계 시험평가 제도개선에 관한 연구,국방부(운영지원과),72756572.0,88.903,2023-01-17,(주)에프오알엠도시건축공간연구소,,권시형,경기도 화성시 동탄첨단산업1로14-0 (영천동)  KTX밸리 707호
항-17-018 자동연역분석기 시약 등 37종,육군군수사령부,,,2023-08-11,명지대학교 산학협력단,김재영,김영중,"충청남도 논산시 대학로 121, 건양대학교 산학협력단(내동)"
K10 탄약운반차량 경미한 성능개량 사업분석,국군재정관리단,,107.866,,주식회사 엔브이티,강윤진,윤진영,"서울특별시 서초구 방배천로155, 유청빌딩 3층(방배동 821-8)"
주요 군사시설의 방호설계 기준 개정 연구용역,공군사관학교,140399728.0,89.804,2016-07-14,,,,
[24-육-84] 탄약부대 경계병력 민간전환 선결 연구,공군본부,48993188.0,82.591,2017-03-14,주식회사 동빈글로벌,한아름,조동원,"서울특별시 영등포구 63로 32, 라이프콤비빌딩702호(여의도동)"
4차 산업혁명 전장기능별 무기체계 소요 연구 용역,제2879부대,,69.315,,성도교역,홍명성,이승기,경상북도 포항시 남구 효자로138-0 (대잠동)
24-정보우세권  확보를 위한 정보력 강화방안 연구,국방시설본부,,96.435,2020-01-25,주식회사 온품,김지영,이성태,서울특별시 금천구 벚꽃로244-0 (가산동)810호 벽산디지털밸리5차
[24-육-188] 안전문화 수준 측정 Tool 개발 연구,국군재정관리단,76881900.0,90.672,2020-07-05,(주) 한국능률협회컨설팅,염진수,,"서울특별시 금천구 가산디지털2로184, 10층 1017호(가산동, 벽산디지털밸리2차)"
차세대 전투차량 발전방안 연구 용역,국방부(운영지원과),44956935.0,90.139,2018-11-03,씨엠티정보통신(주),이희윤,전대석,"대전광역시 유성구 한밭대로138 (노은동, 노은노블레스) 201호"
23년 임무형지휘 연구용역,해군군수사령부,,,2019-07-14,사단법인 대한민국해군발전협회,,김학범,
비궁 창정비요소개발 사업분석,국군재정관리단,250661190.0,106.313,2022-03-02,,,임소영,
대용량 유전자데이터 분석 파이프라인 및 가시화 연구,4284부대,20016222.0,,2020-09-21,,,구종우,
(217122-B)연구장비(차세대염기서열분석기) 구매,해군군수사령부,148547022.0,91.043,,사단법인 안보경영연구원,김형철,권시형,"서울특별시 강남구 언주로527, 10층 (역삼동)"
시뮬레이터 소프트웨어 보안성 시험 방안 연구,국군재정관리단,55152510.0,106.777,2022-06-13,(사)한국전략문제연구소,박정기,,"서울특별시 강남구 언주로527, 10층 (역삼동)"
국방R&D 과제 평가체계 개선방안 연구,국군재정관리단,260960034.0,108.552,2022-07-03,,,이기석,
22-4-작전지휘시설 신축 선행연구용역,해군본부,57958793.0,,2018-07-31,,,백도현,
디지털 혁신시대 SW개발역량 강화방안 연구용역,국군재정관리단,137362389.0,94.684,2019-02-11,,,,
2019년 의무장비(요분석기) 구매-재투자,국군재정관리단,207344384.0,,2021-04-08,주식회사 일신이앤씨,김회율,박소연,서울특별시 금천구 가산디지털2로123-0 (가산동) 월드메르디앙벤처센터 2차 317호
분광광도계 수질분석형 1EA,방위사업청(운영지원과),138647144.0,,2018-04-24,,김진욱,,서울특별시 노원구 화랑로574-0 (공릉동)
(237097-E) 연구활동재료(시약) 구매,공군군수사령부,67745361.0,98.681,,에스앤에스이앤지 주식회사,오중산,,"서울특별시 금천구 가산디지털2로184, 1017호(가산동, 벽산.경인디지털밸리2)"
공군 이러닝 무선기반체계 고도화 방안 연구 용역,국군재정관리단,,102.054,,한남대학교 산학협력단,이문걸,서경원,"서울특별시 용산구 한강대로62길41, 3층 (한강로1가)"
전쟁양상을 고려한 전사자 관리의 분석 및 발전 연구,국군재정관리단,9839118.0,80.926,2020-04-30,주식회사 안보기술연구원,이수훈,구종우,경상북도 경주시 동대로 123(석장동)
24-F-분석기 회로망 1종 구매,해군본부,91235466.0,,,(주)한신솔루션,김동준,장중원,"인천광역시 계양구 벌말로566번길13-1, 1층(상야동)"
함정 네트워크 설계 및 무선통신 발전방향 연구 용역,육군교육사령부,,65.678,2019-06-15,,,,
전투복 위장무늬  디자인 및 적용소재 연구용역,공군본부,,,2016-03-07,한국인성교육연구소 주식회사,김혜진,,"전라북도 군산시 임피면 호원대3길 64,"
21년 차세대 첨단함정 건조가능성 검토 연구용역(ll),국군재정관리단,,,,주식회사 씨이지앤드플러스,김희상,이지은,서울특별시 서초구 서초동1432-13 202
소요결정 권한 소요군 위임시 획득절차 연구,국군재정관리단,,90.104,2020-10-20,주식회사 오파스넷,석수진,심지민,경상남도 창원시 진해구 용원동로294-0 (용원동)
방공전력 발전방향 연구 용역,공군본부,1917620.0,84.373,2020-11-15,사단법인 안보경영연구원,전건욱,양정학,"서울특별시 강남구 언주로527, 10층 (역삼동)"
20~21년 분석용모델(3종) 유지보수 용역(2019F173-C),국군재정관리단,34970479.0,75.087,2024-07-15,,,권시형,
21-첨단 수중전력 소요기술 분석 및 적용방안 연구,합동참모본부,253653913.0,77.339,2021-01-04,(주)에프오알엠도시건축공간연구소,,조현선,
극지안보환경 변화에 따른 미래 한국해군의 역할 연구,국방부,66590772.0,,2023-05-29,(사)21세기군사연구소,김재영,장지혜,
17-군 세차 폐수처리시설 운영 개선방안 연구용역,국방전산정보원,175473241.0,,2021-01-30,,,,
ATCIS 2차 성능개량 0000체계 운용요구서 연구,제6619부대,,71.643,,사단법인 안보경영연구원,,,"서울특별시 강남구 언주로527, 10층 (역삼동)"
보령 공군사격장 민관군 상생협력방안 연구용역,육군본부,36320872.0,78.585,2019-07-05,,,,
특수작전용 유탄발사기사업 선행연구,육군교육사령부,6142643.0,,2017-09-12,사단법인 안보경영연구원,전건욱,,"서울특별시 강남구 언주로527, 10층 (역삼동)"
군 환경시설 관리 효율화 방안 정책연구용역,국군재정관리단,25299520.0,118.321,,,신관우,,
해군교전급분석모델(Build-I) 체계개발사업,국군재정관리단,,,2021-07-29,유한회사 동방이노베이션,김건희,최규식,"충청북도 청주시 서원구 사직대로164번길9, 401(사창동)"
00 군공항 설계기본요구조건 작성 연구용역,해군본부,,,2020-01-27,,최종규,,"서울특별시 용산구 한강대로62길41, 3층 (한강로1가)"
정보학교 드론 연구용역,제9691부대,13666554.0,75.883,2019-10-17,,,,
17년 지형분석장비 물품 구매설치,공군본부,,,2021-07-05,주식회사남동,정순애,김영중,"경기도 고양시 일산서구 대산로213-0  302호 (대화동,중앙프라자)"
2024년 바세나르체제 군용물자목록 개정소요 연구,육군본부,163785938.0,72.828,2019-07-27,,박정기,,
RAM 및 군수지원분석 방법 선진화 연구(2차),국군재정관리단,45711286.0,90.788,2017-05-01,사단법인 안보경영연구원,,,"서울특별시 강남구 언주로527, 10층 (역삼동)"
법무 계좌통신 분석시스템 구매,해군본부,,91.885,2021-06-05,(주)글로벌텔레콤,동중영,김승준,"경기도 하남시 미사강변한강로155, 1동 314호(망월동, 지식산업센터)"
해병대 무인화전투체계 도입방안 연구용역,제9691부대,,,2019-08-31,,,,
23-2차 연구의무물자(BL3 수거함 등 4종) 구매,국군재정관리단,7980339.0,84.694,2024-02-18,주식회사 이안코리아,이충렬,이형민,"경기도 고양시 일산동구 일산로441번길34-13, 1층 (1층 상가 좌측)(정발산동)"
[24-육-91] 무건리 훈련장 갈등 비용분석 연구,제2879부대,43592.0,,2021-01-01,(주)컴트리,김여기,지용현,서울특별시 강남구 논현로136길16 (논현동)
25년도 안보정세전망 연구용역,제9965부대,48967730.0,,2020-08-24,사단법인 씨알리더십연구원,곽재수,김태욱,"서울특별시 서초구 방배천로155, 유청빌딩 3층(방배동 821-8)"
손상통제사 자격신설 연구,방위사업청(운영지원과),145625740.0,92.036,2016-06-27,,,,
분석기(비행조종계통 점검용)외1종 구매(16-38),방위사업청(운영지원과),57242525.0,124.148,,구루멘토링 주식회사,이효진,이주열,경상북도 구미시 산동읍 강동로730
복합신호분석기 구매(20198178-F),방위사업청(운영지원과),,,,캐리온,김민철,유선미,서울특별시 성북구 삼선교로16길116-0 (삼선동2가)
22-합 -분석실험실 운용장비 교체사업 리스,공군본부,,,2022-10-26,신우정보기술,이용준,,"서울특별시 성북구 안암로145 (안암동5가, 고려대학교)"
용산헬기장 소음영향평가 연구용역,육군본부,,,2017-04-07,,,,
22년 분석실험실 상용 SW 구매,국방대학교,,,,(주)지올코리아,임병조,장지혜,"경기도 부천시 송내대로388-0 200동 502호 (약대동, 부천테크노파크)"
조종사 피로도와 안전비행의 상관관계 분석 연구용역,공군사관학교,,85.254,2024-01-24,,,,
전인교육 설문지 개발 및 활용성 증대 방안 연구,국군재정관리단,,,2018-09-06,,,,
23-6차 조달 연구장비(겔이미지 시스템) 구매 계약,육군본부,11508968.0,97.842,,주식회사 안보기술연구원,,,"서울특별시 금천구 가마산로96-0, 213호(가산동, 대륭테크노타운8차)"
항-19-082 자동면역분석기 시약 등 27종,공군군수사령부,196720134.0,75.067,2020-06-05,"주식회사 안랩(AHNLAB,INC.)",황영식,구종우,"서울특별시 강남구 테헤란로 142(역삼동, ARC PLACE) 7층"
(217271-C) 의무장비(자동분석기 생화확 대형) 구매,제5019부대,99759261.0,91.416,,군정비지원센터,김주형,양정승,"서울특별시 송파구 송파대로24길5-6 (가락동,1층)"
공군 군수지원 분야 발전방향 연구 용역,국방부조사본부,,86.731,2019-03-30,(재)한국기계전기전자시험연구원,변중무,,경기도 화성시 10용사로456-0 (반송동)
BTL관리운영권 만료사업 시설인수 운영방안 연구용역,방위사업청,33167321.0,105.678,,마린전자상사,정태량,박계향,서울특별시 용산구 한강대로46길25-0 (한강로2가) 401호
19-미래 유무인 항공전력 복합운용 전력소요 연구,국군재정관리단,126790622.0,89.19,2020-08-02,,,,
21-함정 거주구역 개선방안 연구,국군의무사령부,,78.552,2021-02-17,주식회사 브이웨이,김지현,조대현,"경기도 수원시 영통구 월드컵로 206(원천동, 아주대학교)"
주요 선진국의 획득제도 사례분석을 통한 시사점 연구,국방부(운영지원과),,,,서현회계법인,김준식,조대현,충청북도 청주시서원구 성화동599번지 3층
가상현실 및 증강현실 기술적용 방안 연구,육군교육사령부,48757403.0,94.47,2016-05-16,,,박계향,"서울특별시 용산구 청파로 40, 삼구빌딩 1815호(한강로3가)"
16-'17년 대잠작전효과분석모델 성능개선 용역,제2879부대,15246924.0,83.971,,(주)이에이치,이창민,최소영,"경기도 안양시 동안구 학의로282, B동 1616호"
스마트팩토리 기반 KAAV창정비 공장 연구 용역(1),공군군수사령부,213261353.0,,2021-08-25,주식회사 안보기술연구원,안동만,,"서울특별시 중구 동호로7길41, 2층(신당동)"
해강안 경계철책 철거(대체)관련 설계 연구 용역,육군교육사령부,393147468.0,102.371,,쿤텍 주식회사,김준식,김영진,"서울특별시 구로구 디지털로34길55, 1008호 (구로동, 코오롱싸이언스밸리2차)"
